condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
0,B,False,71,10112432413057293262,0.001138,0.984422,0.615503,0.994274,2.479778,3.444792
0,B,False,72,17754223360767927082,0.161998,0.973398,0.579800,0.967214,1.966989,2.494066
0,B,False,73,8524514862046144439,0.512052,0.983048,0.708146,0.995409,1.396366,1.692321
0,B,False,74,2619621124950055082,0.014131,0.972125,0.231025,0.973144,3.986049,5.195793
0,B,False,75,5245367253902114773,0.748441,0.996921,0.943075,0.996165,0.583561,0.859981
0,B,False,76,4908442928459783785,0.984316,0.991468,0.598596,0.993796,2.815494,3.581145
0,B,False,77,11601191636692089777,0.987747,0.999105,0.878280,0.994361,0.730142,0.939423
0,B,False,78,4946032338573080337,0.152323,0.958635,0.692429,0.986144,1.299691,1.784775
0,B,False,79,193323190656864392,0.902135,0.999994,0.971509,0.999095,0.492185,0.510562
0,B,False,80,12286717315884329967,0.185551,0.975835,0.894951,0.995346,0.690993,1.570196
0,B,False,81,2393616938676688700,0.985531,0.990455,0.933750,0.990645,0.514680,0.627575
0,B,False,82,8429949523851626037,0.970613,0.981132,0.950314,0.988833,0.539759,0.734552
0,B,False,83,10625789809040938924,0.997321,0.990529,0.841334,0.996020,0.886318,1.131967
0,B,False,84,7323021778516561033,0.398843,0.992466,0.741780,0.997580,1.260365,1.930564
0,B,False,85,17351807296096434206,0.872439,0.970883,0.884894,0.977245,0.613080,0.847470
0,B,False,86,10488284877416351363,0.206560,0.992433,0.655981,0.998433,2.828244,4.496214
0,B,False,87,10425690760161580294,0.519070,0.998243,0.724656,0.998496,1.631175,2.035252
0,B,False,88,11290716188760566105,0.151325,0.996164,0.768169,0.997324,1.477001,2.104591
0,B,False,89,3071557683751029957,0.200231,0.979921,0.635951,0.983647,3.243921,4.291098
0,B,False,90,6668639990356663155,0.070061,0.962223,0.576748,0.987795,2.770634,3.877768
