condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
0,B,False,53,8525249328655299666,0.340211,0.967401,0.879761,0.991494,0.731232,1.252858
0,B,False,54,13464204517152056085,0.031186,0.981113,0.511240,0.994449,3.865681,5.150378
0,B,False,55,4586097293512840890,0.384340,0.983508,0.761264,0.995541,2.092413,2.836764
0,B,False,56,11865984228913288277,0.872828,0.997099,0.912091,0.997612,0.738966,1.102612
0,B,False,57,18433315942916534683,0.480556,0.991743,0.575014,0.987964,2.748090,3.321934
0,B,False,58,14203592199566012085,0.778694,0.991286,0.835217,0.994168,1.456770,1.812100
0,B,False,59,14622402754046566671,0.973995,0.989891,0.972530,0.998099,0.431366,0.632486
0,B,False,60,4615731072374699158,0.885576,0.997514,0.928435,0.999548,0.628966,0.842338
0,B,False,61,593095418841398297,0.912019,0.990345,0.905349,0.992243,0.666654,1.129290
0,B,False,62,14574386754041982706,0.608903,0.994314,0.780460,0.998680,1.784443,2.520220
0,B,False,63,18020331819541264556,0.693505,0.983620,0.882021,0.989531,0.618919,0.875860
0,B,False,64,14291968845027809219,0.999257,0.945176,0.911056,0.974983,0.395531,0.533864
0,B,False,65,189373932083208134,0.972610,0.999959,0.936385,0.998592,0.523236,0.714285
0,B,False,66,15253211940323626555,0.986451,0.999907,0.945735,0.997460,0.425527,0.568317
0,B,False,67,16351628183831674080,0.899068,0.992665,0.969654,0.995453,0.521874,0.698963
0,B,False,68,2590678532341232553,0.995898,0.963166,0.989824,0.992892,0.250585,0.360181
0,B,False,69,9961890938728407477,0.898412,0.958688,0.934877,0.990200,0.710768,1.082869
0,B,False,70,8737477274693781309,0.999441,0.993451,0.993256,0.998235,0.342549,0.410602
0,B,False,71,10112432413057293262,0.845573,0.998122,0.807955,0.997115,1.255957,1.426823
0,B,False,72,17754223360767927082,0.260137,0.999347,0.701087,0.987009,3.210876,4.027392
0,B,False,73,8524514862046144439,0.878223,0.994344,0.847092,0.997327,1.017316,1.302729
0,B,False,74,2619621124950055082,0.000315,0.965043,0.601309,0.977510,2.671238,4.107764
0,B,False,75,5245367253902114773,0.570738,0.997679,0.704394,0.999097,2.260319,2.799536
0,B,False,76,4908442928459783785,0.756121,0.999063,0.915578,0.999427,0.810087,1.113440
0,B,False,77,11601191636692089777,0.999917,0.991302,0.981764,0.994483,0.315952,0.430146
0,B,False,78,4946032338573080337,0.107408,0.998239,0.488809,0.999114,5.173829,6.366694
0,B,False,79,193323190656864392,0.755281,0.999473,0.949321,0.998886,0.561822,0.845851
0,B,False,80,12286717315884329967,0.992708,0.999624,0.923338,0.995699,0.496787,0.567761
0,B,False,81,2393616938676688700,0.039331,0.915808,0.680695,0.977070,2.378758,3.393603
0,B,False,82,8429949523851626037,0.967585,0.999984,0.990071,0.997844,0.262743,0.402012
0,B,False,83,10625789809040938924,0.721738,0.998500,0.899625,0.996632,0.696939,0.933896
0,B,False,84,7323021778516561033,0.912234,0.999962,0.955592,0.999108,0.509648,0.667252
0,B,False,85,17351807296096434206,0.757030,0.973494,0.656786,0.993908,3.402236,3.970022
0,B,False,86,10488284877416351363,0.957005,0.999260,0.868622,0.999580,1.037555,1.178434
0,B,False,87,10425690760161580294,0.852583,0.979151,0.957508,0.997218,0.481250,0.776595
0,B,False,88,11290716188760566105,0.636678,0.986629,0.876886,0.995989,0.715699,0.971372
0,B,False,89,3071557683751029957,0.979039,0.959201,0.936859,0.984508,0.491271,0.762827
0,B,False,90,6668639990356663155,0.773073,0.989199,0.928805,0.998276,0.712392,1.125203
0,B,False,91,15453338452008338158,0.758917,0.999604,0.911713,0.998892,0.663363,0.966294
0,B,False,92,12445374721324425945,0.998973,0.998648,0.872235,0.998802,0.968053,1.281602
0,B,False,93,12102051444333430969,0.998923,0.992584,0.961770,0.995792,0.590044,0.808105
0,B,False,94,4270178746539578890,0.784659,0.999444,0.858400,0.999462,1.095820,1.549269
0,B,False,95,415915742581952632,0.886613,0.980009,0.871376,0.992177,1.431797,1.646277
0,B,False,96,13160564818314794778,0.047283,0.988125,0.521958,0.994233,4.529600,5.714785
0,B,False,97,8297630469199321273,0.897953,0.972592,0.883059,0.986295,1.317585,1.573499
0,B,False,98,2024780049722463762,0.421345,0.991423,0.689222,0.996004,2.230922,2.655037
0,B,False,99,8272763099127616356,0.683626,0.963294,0.930150,0.989853,0.426157,0.715982
1,C,False,0,7907310815272351480,0.998476,0.991346,0.936836,0.992610,0.379019,0.496958
1,C,False,1,8919572360003037733,0.986169,0.984426,0.576372,0.985150,2.992182,3.573114
1,C,False,2,2256239934813566588,0.971369,0.988664,0.958116,0.997378,0.538517,0.670334
1,C,False,3,5941016352435333481,0.984282,0.998336,0.921320,0.998438,0.574937,0.732854
1,C,False,4,3890179285335390609,0.996525,0.999804,0.968823,0.997615,0.317921,0.525559
1,C,False,5,1143588545465723632,0.695275,0.954090,0.797962,0.980312,0.976094,1.526128
1,C,False,6,13452058666802791191,0.997740,0.993461,0.851114,0.991463,1.464054,1.614070
1,C,False,7,825539370941933605,0.971784,0.996011,0.745885,0.993124,1.551970,1.762599
1,C,False,8,4971263419176091714,0.998636,0.991352,0.950560,0.993959,0.651098,0.860831
1,C,False,9,14513301737419025520,0.962625,0.985159,0.940086,0.996881,0.475860,0.542157
1,C,False,10,12657170792695931112,0.723538,0.974258,0.929697,0.991616,0.713283,1.034790
1,C,False,11,14554728232899413977,0.996113,0.998655,0.958741,0.998835,0.496750,0.584638
1,C,False,12,3285507139685542476,0.999679,0.997788,0.746964,0.998178,1.822593,2.211992
1,C,False,13,4279155023737222899,0.955966,0.943701,0.946663,0.978238,0.331093,0.445634
1,C,False,14,16834022921450468354,0.877308,0.981755,0.686919,0.991438,2.163782,2.329790
1,C,False,15,9223606929073461462,0.842729,0.979738,0.970669,0.986889,0.607759,0.873314
1,C,False,16,4563343505542545135,0.989368,0.998764,0.967671,0.998511,0.337627,0.486080
1,C,False,17,1793793917346988005,0.880187,0.993815,0.934471,0.997019,0.493346,0.645775
1,C,False,18,13948109408276176612,0.921288,0.986802,0.964144,0.997498,0.468989,0.580464
1,C,False,19,1874348788710582351,0.681465,0.976697,0.764188,0.994120,1.579928,1.792320
1,C,False,20,18055481954459928017,0.977375,0.984534,0.956752,0.996517,0.522761,0.662572
1,C,False,21,6759364069723208998,0.890848,0.999922,0.941088,0.998717,0.564608,0.868117
1,C,False,22,2701525060871462804,0.839106,0.962176,0.921204,0.987325,0.387227,0.479113
1,C,False,23,9537889934652134712,0.996046,0.997082,0.971031,0.998217,0.445705,0.506656
1,C,False,24,1329224620767936773,0.961967,0.997588,0.856499,0.998913,1.072369,1.310003
1,C,False,25,10330575857816938123,0.973608,0.999980,0.992045,0.997611,0.288674,0.347664
1,C,False,26,7118456129573124430,0.985456,0.980593,0.830473,0.990851,0.927998,1.100163
1,C,False,27,11095297396665690069,0.966633,0.991531,0.952912,0.996744,0.614418,0.776211
1,C,False,28,498760509776609174,0.993228,0.975248,0.948918,0.991727,0.362055,0.515606
1,C,False,29,16100216468074718207,0.974031,0.998437,0.959184,0.999595,0.434935,0.555490
1,C,False,30,18170179375270938255,0.915597,0.967789,0.956923,0.994551,0.340046,0.436109
1,C,False,31,15938280625536513631,0.999969,0.993731,0.972149,0.998306,0.380552,0.521376
1,C,False,32,1863595606247557403,0.995272,0.996734,0.848480,0.997189,1.035019,1.448089
1,C,False,33,8779269494373167123,0.929281,0.992275,0.957378,0.997994,0.411882,0.529489
1,C,False,34,15673294531230463559,0.986831,0.999359,0.981287,0.996905,0.321273,0.425498
1,C,False,35,6546157702392299646,0.996156,0.999975,0.902975,0.998269,0.775741,0.842754
1,C,False,36,14175486175583147887,0.932545,0.995195,0.955014,0.998852,0.512175,0.706827
1,C,False,37,2723616798389846593,0.790905,0.981009,0.952914,0.993850,0.350300,0.519725
1,C,False,38,4253040765001152812,0.995567,0.999990,0.954580,0.997927,0.414563,0.630227
1,C,False,39,7183569130053270251,0.988738,0.993978,0.991568,0.996625,0.289297,0.388137
1,C,False,40,14876798086321358358,0.958795,0.993495,0.726794,0.992784,1.690345,2.057118
1,C,False,41,818285479060412438,0.995772,0.993175,0.589493,0.965691,2.688871,3.255139
1,C,False,42,17810835190234706811,0.999998,0.988767,0.989909,0.997331,0.302223,0.373832
1,C,False,43,14937736043367929972,0.999531,0.998001,0.936680,0.997061,0.479598,0.527318
1,C,False,44,14551305983604970407,0.962443,0.985845,0.973373,0.997217,0.438934,0.576902
1,C,False,45,13265647662600768821,0.998695,0.998331,0.951587,0.996199,0.374286,0.535199
1,C,False,46,4419254689044984187,0.868515,0.993026,0.954858,0.998846,0.448115,0.593042
1,C,False,47,8892460906512563003,0.999615,0.993165,0.971922,0.996329,0.435737,0.551261
1,C,False,48,14896333487085688320,0.992961,0.999432,0.900357,0.998638,0.771883,0.916680
1,C,False,49,10380545843764232654,0.869450,0.969938,0.975411,0.989107,0.325464,0.438417
1,C,False,50,6630120930247150382,0.884504,0.999199,0.961741,0.997317,0.378645,0.647448
1,C,False,51,10665621507777772520,0.997294,0.982095,0.992544,0.991266,0.277483,0.336957
1,C,False,52,1738081950813811106,0.892099,0.978534,0.927737,0.984938,0.424203,0.517206
1,C,False,53,17899349771188291029,0.999948,0.988842,0.921103,0.994573,0.754704,1.008774
1,C,False,54,8812064127872443066,0.967257,0.998142,0.975750,0.999212,0.332567,0.547168
1,C,False,55,3253323538317167122,0.973885,0.966591,0.908589,0.993255,0.839368,1.026651
1,C,False,56,10414933645770106716,0.999001,0.996064,0.823258,0.994691,1.078808,1.315067
1,C,False,57,16823716647236655461,0.908247,0.979313,0.970789,0.993185,0.271160,0.417887
1,C,False,58,14151171250347361643,0.967753,0.999923,0.869058,0.997761,0.930576,1.212610
1,C,False,59,5784256038332739669,0.999850,0.991915,0.922608,0.993772,0.529012,0.638802
1,C,False,60,13922804056035861309,0.993447,0.987997,0.946892,0.993808,0.416843,0.519026
1,C,False,61,10811508319269836193,0.991259,0.999934,0.978390,0.998731,0.289829,0.468471
1,C,False,62,14101135820784492977,0.986255,1.000000,0.995822,0.998397,0.274127,0.303699
1,C,False,63,8426529291970484699,0.933641,0.914377,0.854261,0.955732,0.435964,0.556732
1,C,False,64,5387733996514614122,0.923975,0.975232,0.938167,0.991442,0.546428,0.750124
1,C,False,65,632356201489216354,0.821577,0.970810,0.888243,0.994508,0.837234,1.087504
1,C,False,66,14255574563921086766,0.855010,0.995816,0.919071,0.987893,0.531165,0.689756
1,C,False,67,2579797834808679832,0.991951,0.992049,0.960076,0.997481,0.626478,0.737289
1,C,False,68,16414102953224792267,0.983029,0.985240,0.986313,0.995254,0.248280,0.271453
1,C,False,69,6692421827244363951,0.897141,0.998312,0.783471,0.999166,1.584765,1.885831
1,C,False,70,3877599420909139526,0.966584,0.999974,0.967346,0.997803,0.297459,0.442301
1,C,False,71,13026377236299590074,0.865299,0.995833,0.955261,0.998307,0.561064,0.769512
1,C,False,72,11889748274810362994,0.993394,0.989904,0.977225,0.997934,0.327906,0.470565
1,C,False,73,11819234196926277566,0.969334,0.988035,0.923005,0.994315,0.584751,0.731009
1,C,False,74,11759541634526467721,0.997471,0.994392,0.866716,0.997871,1.269400,1.361887
1,C,False,75,6911733858453867683,0.999080,0.990072,0.925815,0.997469,0.597081,0.771638
1,C,False,76,2879679186955224669,0.957584,0.997509,0.972380,0.998403,0.358935,0.455842
1,C,False,77,3080514693772911641,0.890361,0.966591,0.957636,0.991167,0.429304,0.638203
1,C,False,78,9872307904607576762,0.915287,0.976098,0.960054,0.990453,0.309047,0.378732
1,C,False,79,7654013680245477515,0.988809,0.998032,0.945901,0.999176,0.561214,0.850063
1,C,False,80,12761781976288209900,0.903768,0.986616,0.878909,0.997496,1.043619,1.306898
1,C,False,81,1733502000736036112,0.993662,0.996526,0.968486,0.994206,0.292178,0.454514
1,C,False,82,6041916978047591176,0.840504,0.983867,0.930428,0.992780,0.518515,0.679928
1,C,False,83,6409865495178403902,0.997845,0.994876,0.975025,0.995478,0.319145,0.507655
1,C,False,84,7321294978425608053,0.948944,0.999193,0.958929,0.999628,0.463548,0.557558
1,C,False,85,12422813314409448693,0.934546,0.999578,0.904427,0.999315,0.777058,1.116676
1,C,False,86,8059778070704714746,0.984656,0.961751,0.920782,0.975548,0.343531,0.439034
