trajectory,seed,B1_F,B1_FI,B1_E,GLOBAL_F,GLOBAL_FI,GLOBAL_E,LOCAL_F,LOCAL_FI,LOCAL_E,HYBRID_F,HYBRID_FI,HYBRID_E
201,13903781276041959812,0.8985566061384926,0.9120488756368312,2.211312780468222,0.9313281479210255,0.9144760793906639,1.806686334633151,0.04126362862187107,0.2441041294657821,0.5400288459133377,0.9313281479210255,0.9144760793906639,2.2723142531140983
202,938270464445435791,0.9684605611463981,0.9581086780570819,1.1241500112851925,0.9730888564598295,0.9561341164868947,0.7228435064992322,0.17888139233526956,0.2735942001053264,0.4434080063046248,0.9730888564598295,0.9561341164868947,1.147427393195937
203,7012029685734715904,0.9291211100707292,0.9647743363081478,1.4485128182153992,0.8011975679519362,0.9289364162722991,1.0663634403278237,0.10256531117054073,0.5132380022292751,0.4318504541927525,0.8011975679519365,0.9289364162722992,1.4597805834699737
204,624044504693460947,0.9722328702698187,0.9186522958068911,2.5744954783590366,0.923099954899468,0.8506922482150399,2.2382138436892993,0.6668849919008305,0.6202145476632405,0.40315504864488294,0.923099954899468,0.8506922482150399,2.5527127493413926
205,4233664725217445131,0.8177745771953302,0.8681083072160054,3.723939880301175,0.7960045671599637,0.838712002693223,3.3800095104574455,0.3726402625782326,0.5210566761783885,0.5991672844928342,0.7960045671599635,0.8387120026932229,3.8069731619456766
206,14729158382372266213,0.8609957662686653,0.9570683984294762,1.1054088622927298,0.7939084165560927,0.9338911780984596,0.7133132893916718,0.041603704272378854,0.6777844424215494,0.5909048581919177,0.7939084165560927,0.9338911780984596,1.2770339111800617
207,10341802685257130173,0.9835074739772753,0.9937036539833018,0.5743034945471521,0.999722061784582,0.9908095108170368,0.08992573610874416,0.9316238377171933,0.8412356788373576,0.5599340529488109,0.9997220617845822,0.9908095108170368,0.6524378941720945
208,10724648594949395810,0.6816159158441134,0.9183817789790025,2.0690582693798443,0.6780341468666785,0.9261162502353967,1.7063831947438806,0.32311965154058847,0.7252371151607622,0.40594797536108373,0.6780341468666785,0.9261162502353967,2.064076873057426
209,5419766935459021898,0.613067438998323,0.7628704032127767,6.577774047555598,0.48479209777523846,0.6977536150639385,6.120921846142232,0.45341168313812896,0.5270779803289204,0.6626507858014853,0.4847920977752386,0.6977536150639385,6.533850873609076
210,1882951579873763414,0.9188211851195635,0.7807245691965091,5.544797044459724,0.8835068323623145,0.6872709503300295,5.136176993398058,0.5006207830656401,0.5986520946812448,0.6848032404424087,0.8835068323623145,0.6872709503300295,5.5670525414430925
211,9918776460194424648,0.8302041425684262,0.9179528139750183,2.245137760705016,0.877599316129453,0.923567065267095,1.851496952173078,0.006534827430453423,0.6554201009795636,0.5752404715096893,0.8775993161294532,0.923567065267095,2.34416859068901
212,6659304297392282490,0.38481188303375885,0.8485849232738869,4.238410006374379,0.18138322676127608,0.7446423224289035,3.7254083040297146,0.9970846912346921,0.4722817511042561,0.6559185261957122,0.18138322676127594,0.7446423224289035,4.239063983689144
