t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
87,0,0,B1,DEPLOY,1,0.783559469498576,0.0,0.0,0.0
88,0,0,B1,DEPLOY,1,0.8414876790770545,0.0,0.0,0.0
89,0,0,LOCAL,DEPLOY,1,0.8213205361982114,0.012942168966292744,0.024697647815339785,0.01175547884904704
90,0,0,HYBRID,DEPLOY,1,0.8998082285796551,0.0,0.06053213462989726,0.06053213462989726
91,0,0,LOCAL,DEPLOY,1,0.8953483173620902,0.0,0.06923007822188754,0.06923007822188754
92,0,0,HYBRID,LEARN_UCB,1,0.8943317499361311,0.0,0.08832715284483927,0.08832715284483927
93,0,0,HYBRID,DEPLOY,1,0.9771977737360076,0.0,0.06064070148181977,0.06064070148181977
94,0,0,LOCAL,DEPLOY,1,0.9014698609021532,0.0,0.1322898482913505,0.1322898482913505
95,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.1331194898926653,0.1331194898926653
96,0,0,LOCAL,DEPLOY,1,0.8362841075939145,0.0,0.04427114938045906,0.04427114938045906
97,0,0,GLOBAL,DEPLOY,1,0.829268878588168,0.0,0.045390137944847364,0.045390137944847364
98,0,0,GLOBAL,DEPLOY,1,0.7784208172988648,0.026300794459849675,0.0,-0.026300794459849675
99,0,0,HYBRID,DEPLOY,1,0.9687647357425723,0.0,0.13966785896644007,0.13966785896644007
100,0,0,HYBRID,DEPLOY,1,0.9560629198069606,0.0,0.1407225083206899,0.1407225083206899
101,0,0,HYBRID,DEPLOY,1,0.9149254345755986,0.0,0.038918254069856384,0.038918254069856384
102,0,0,GLOBAL,DEPLOY,1,0.8567061134397697,0.051081910942419206,0.060405774086799036,0.00932386314437983
103,0,0,HYBRID,DEPLOY,1,0.9894357800615805,0.0,0.11830228868073545,0.11830228868073545
104,0,0,HYBRID,DEPLOY,1,0.9318490649242639,0.0,0.10209072472415259,0.10209072472415259
105,0,0,HYBRID,DEPLOY,1,0.964444088032041,0.0,0.09461207959787987,0.09461207959787987
106,0,0,HYBRID,DEPLOY,1,0.9640657854939647,0.0,0.1072150129470093,0.1072150129470093
107,0,0,LOCAL,DEPLOY,1,0.8741929162225742,0.0,0.0457389598884691,0.0457389598884691
108,0,0,HYBRID,DEPLOY,1,0.8595461303340878,0.0,0.04355471855131443,0.04355471855131443
109,0,0,B1,DEPLOY,1,0.872749293313864,0.0,0.0,0.0
110,0,0,B1,LEARN_UCB,1,0.8190789015194376,0.0,0.0,0.0
111,0,0,GLOBAL,DEPLOY,1,0.8784818630693003,0.0,0.09721637670946359,0.09721637670946359
112,0,0,GLOBAL,DEPLOY,1,0.8727066375360291,0.022516286411714215,0.0,-0.022516286411714215
113,0,0,HYBRID,DEPLOY,1,0.8315072127552937,0.003897992790843574,0.01568034079499736,0.011782348004153786
114,0,0,B1,DEPLOY,1,0.8439746198889572,0.0,0.0,0.0
115,0,0,B1,DEPLOY,1,0.8288799097735,0.0,0.0,0.0
116,0,0,GLOBAL,DEPLOY,1,0.8559882962317479,0.0,0.022841569201674794,0.022841569201674794
117,0,0,HYBRID,DEPLOY,1,0.9197454438643768,0.0,0.07544620582922956,0.07544620582922956
