t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
155,0,0,HYBRID,DEPLOY,1,0.8436314218232696,0.0,0.009655211370518613,0.009655211370518613
156,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.1259402155743481,0.1259402155743481
157,0,0,B1,DEPLOY,1,0.868776326113782,0.0,0.0,0.0
158,0,0,HYBRID,DEPLOY,1,0.931608693561609,0.0,0.06302669531691729,0.06302669531691729
159,0,0,HYBRID,DEPLOY,1,0.936777492819887,0.0,0.04000896749595095,0.04000896749595095
160,0,0,LOCAL,DEPLOY,1,0.8544477891737954,0.0022257551056119596,0.06484125521162287,0.06261550010601091
161,0,0,HYBRID,DEPLOY,1,0.8585545310580519,0.0,0.10881268931964383,0.10881268931964383
162,0,0,B1,DEPLOY,1,0.8157317416048778,0.0,0.0,0.0
163,0,0,LOCAL,DEPLOY,1,0.8970471913176961,0.0,0.08086282908820341,0.08086282908820341
164,0,0,B1,LEARN_UCB,1,0.8601119622060749,0.0,0.0,0.0
165,0,0,HYBRID,DEPLOY,1,0.9115395912023888,0.0,0.022979616145112236,0.022979616145112236
166,0,0,HYBRID,DEPLOY,1,0.9595338534875877,0.0,0.12200935902933419,0.12200935902933419
167,0,0,HYBRID,DEPLOY,1,0.9016423890890648,0.0,0.06140138217388036,0.06140138217388036
168,0,0,B1,DEPLOY,1,0.7882140659668285,0.01507171273052832,0.01507171273052832,0.0
169,0,0,HYBRID,DEPLOY,1,0.9197697590920334,0.0,0.08833198474440807,0.08833198474440807
170,0,0,HYBRID,DEPLOY,1,0.8800539837511676,0.0,0.0533216806906881,0.0533216806906881
171,0,0,LOCAL,DEPLOY,1,0.8961245677524202,0.025379009165947597,0.08441098809054393,0.05903197892459633
172,0,0,B1,DEPLOY,1,0.851987198488483,0.0,0.0,0.0
173,0,0,B1,DEPLOY,1,0.8836722322111656,0.0,0.0,0.0
174,0,0,B1,DEPLOY,1,0.8865174349138523,0.0,0.0,0.0
175,0,0,B1,DEPLOY,1,0.7979318251760755,0.0,0.0,0.0
176,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.09666091079233086,0.09666091079233086
177,0,0,HYBRID,DEPLOY,1,0.9248881963519294,0.0,0.10030116481521412,0.10030116481521412
178,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.11118367894668779,0.11118367894668779
179,0,0,B1,DEPLOY,1,0.8455671213843474,0.0,0.0,0.0
180,0,0,HYBRID,DEPLOY,1,0.9458147027634614,0.0,0.09774264803281463,0.09774264803281463
181,0,0,LOCAL,DEPLOY,1,0.8093043977615636,0.0,0.028846408178914373,0.028846408178914373
182,0,0,GLOBAL,DEPLOY,1,0.8972641862163092,0.06177819505252735,0.06284934793351693,0.0010711528809895787
183,0,0,B1,DEPLOY,1,0.864236095941522,0.0,0.0,0.0
184,0,0,HYBRID,DEPLOY,1,0.9461176501430508,0.0,0.08619272546025492,0.08619272546025492
185,0,0,LOCAL,DEPLOY,1,0.8932869863423504,0.0,0.047602999656064626,0.047602999656064626
186,0,0,LOCAL,DEPLOY,1,0.8857752567986034,0.0,0.04665685064503233,0.04665685064503233
187,0,0,HYBRID,DEPLOY,1,0.8509229911374679,0.0,0.01996863066762966,0.01996863066762966
188,0,0,HYBRID,DEPLOY,1,0.9688145729204233,0.0,0.11400580794069404,0.11400580794069404
189,0,0,HYBRID,DEPLOY,1,0.9823848618740466,0.0,0.13155589196512962,0.13155589196512962
190,0,0,LOCAL,DEPLOY,1,0.8170848595435181,0.0,0.012124801642972138,0.012124801642972138
191,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.08339338963215592,0.08339338963215592
192,0,0,HYBRID,DEPLOY,1,0.9222314989571504,0.0,0.13887838862983926,0.13887838862983926
193,0,0,HYBRID,DEPLOY,1,0.8561663579671813,0.0,0.06695719095927144,0.06695719095927144
194,0,0,GLOBAL,DEPLOY,1,0.8822325379613174,0.0,0.028186343778272782,0.028186343778272782
195,0,0,LOCAL,DEPLOY,1,0.8794359162930032,0.0,0.049986833787119433,0.049986833787119433
196,0,0,HYBRID,DEPLOY,1,0.9146305903103641,0.0,0.09010195633870077,0.09010195633870077
197,0,0,GLOBAL,DEPLOY,1,0.9034234987626164,0.08330416596576906,0.10646384125304131,0.023159675287272252
198,0,0,HYBRID,DEPLOY,1,0.8721781397549816,0.0,0.06142627606776063,0.06142627606776063
199,0,0,GLOBAL,DEPLOY,1,0.788127889886718,0.0,0.07379522344296274,0.07379522344296274
200,0,0,B1,DEPLOY,1,0.8999828968167856,0.0,0.0,0.0
201,0,0,HYBRID,LEARN_UCB,1,0.9210127819273135,0.0,0.06913481537470179,0.06913481537470179
202,0,0,B1,DEPLOY,1,0.848010711691843,0.0,0.0,0.0
203,0,0,B1,DEPLOY,1,0.7669269749589259,0.01930292982163606,0.01930292982163606,0.0
204,0,0,HYBRID,DEPLOY,1,0.9661377213896533,0.0,0.09640946632518643,0.09640946632518643
205,0,0,B1,DEPLOY,1,0.8502737550300116,0.0,0.0,0.0
206,0,0,HYBRID,DEPLOY,1,0.9109093534547362,0.0,0.058416053324940265,0.058416053324940265
