t,policy,mode,reward,prototype_id
287,B1,DEPLOY,0.8561830688299389,6
288,GLOBAL,DEPLOY,0.909912131246765,1
289,GLOBAL,DEPLOY,0.8689599826418685,1
290,B1,DEPLOY,0.8583098706221385,3
291,HYBRID,DEPLOY,0.9329224464846761,7
292,GLOBAL,DEPLOY,0.7863080327044033,1
293,HYBRID,DEPLOY,0.9211163761370339,7
294,HYBRID,DEPLOY,0.8452137133564626,7
295,HYBRID,DEPLOY,0.9551930513549574,7
296,HYBRID,DEPLOY,0.9463081745784094,0
297,B1,DEPLOY,0.8340584919327415,5
298,HYBRID,DEPLOY,0.929148734687424,8
299,HYBRID,DEPLOY,0.920296488627128,0
300,LOCAL,DEPLOY,0.8022604519139511,2
301,GLOBAL,DEPLOY,0.7737440357820314,1
302,HYBRID,LEARN_UCB,0.8436017420368624,8
303,LOCAL,LEARN_COVERAGE,0.6966214822220687,11
304,HYBRID,DEPLOY,0.8337769814086962,8
305,LOCAL,DEPLOY,0.804843032444425,2
306,B1,DEPLOY,0.8367236562536544,5
307,LOCAL,DEPLOY,0.888063346741941,4
308,B1,DEPLOY,0.8236112291169913,3
309,B1,DEPLOY,0.8300535708207669,3
310,HYBRID,DEPLOY,0.9538189113251584,10
311,GLOBAL,DEPLOY,0.8227179720014951,1
312,B1,DEPLOY,0.9281689738233411,6
313,LOCAL,DEPLOY,0.8256052288083946,2
314,LOCAL,DEPLOY,0.876238348994906,2
315,B1,DEPLOY,0.7889710207406629,5
316,HYBRID,DEPLOY,0.9468890516887999,10
317,HYBRID,DEPLOY,0.9952046640616414,7
318,B1,LEARN_UCB,0.8449330879368759,5
319,HYBRID,DEPLOY,0.8143791529360371,10
320,HYBRID,DEPLOY,0.9285413417218036,7
321,HYBRID,DEPLOY,0.8077075372763821,8
322,HYBRID,DEPLOY,0.9717382203736551,7
323,HYBRID,DEPLOY,0.9528453330059999,0
324,HYBRID,DEPLOY,0.8344926096843345,0
325,HYBRID,DEPLOY,0.9109720517207002,10
326,B1,DEPLOY,0.8057711132368888,6
327,LOCAL,DEPLOY,0.8376623596557986,4
328,HYBRID,DEPLOY,0.8438952254958748,8
329,LOCAL,DEPLOY,0.8854779228572199,4
330,HYBRID,DEPLOY,0.8361476311038198,10
331,B1,DEPLOY,0.8595189290305674,3
332,HYBRID,DEPLOY,0.8741459187127547,8
333,HYBRID,DEPLOY,0.8268348727672478,10
334,LOCAL,DEPLOY,0.7959110688179026,2
335,LOCAL,DEPLOY,0.8824402804223984,2
336,LOCAL,DEPLOY,0.8279850524905821,4
337,HYBRID,DEPLOY,0.8921216505552743,8
338,HYBRID,DEPLOY,0.9100587981644397,7
339,B1,DEPLOY,0.8757996704466776,3
340,HYBRID,DEPLOY,0.9660086350811579,0
341,B1,DEPLOY,0.89003600830389,3
342,HYBRID,DEPLOY,0.9065152494742141,10
343,B1,DEPLOY,0.8059740471409199,3
344,HYBRID,LEARN_UCB,0.9456856747902395,7
345,B1,DEPLOY,0.851052427701753,6
346,LOCAL,DEPLOY,0.8636543278649265,4
347,LOCAL,DEPLOY,0.9550740423877618,4
348,LOCAL,DEPLOY,0.8680305676711491,4
349,B1,DEPLOY,0.9217757239974861,3
350,LOCAL,LEARN_UCB,0.7971018715862159,2
351,B1,DEPLOY,0.8115081060920162,5
352,HYBRID,DEPLOY,0.8756736717154083,8
353,B1,DEPLOY,0.7705556138765708,6
354,LOCAL,DEPLOY,0.8895181979441573,2
355,GLOBAL,DEPLOY,0.8864047396856716,1
