t,b1_policy,v01_policy,v02_policy,v02_mode,regret_b1,regret_v01,regret_v02,adv_v02_vs_b1,adv_v02_vs_v01
76,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
77,B1,B1,HYBRID,DEPLOY,0.07871011596059907,0.07871011596059907,0.0,0.07871011596059907,0.07871011596059907
78,B1,LOCAL,HYBRID,DEPLOY,0.09402564253672419,0.0,0.017774648977083918,0.07625099355964027,-0.017774648977083918
79,B1,B1,LOCAL,DEPLOY,0.04475875225548098,0.04475875225548098,0.061876731605274626,-0.017117979349793644,-0.017117979349793644
80,B1,B1,HYBRID,DEPLOY,0.03160567036098305,0.03160567036098305,0.0,0.03160567036098305,0.03160567036098305
81,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
82,B1,B1,GLOBAL,DEPLOY,0.014989876426626747,0.014989876426626747,0.06637324248177567,-0.05138336605514893,-0.05138336605514893
83,B1,HYBRID,HYBRID,DEPLOY,0.0681749287655995,0.0,0.0,0.0681749287655995,0.0
84,B1,B1,LOCAL,DEPLOY,0.03419918384637988,0.03419918384637988,0.010487315641817818,0.02371186820456206,0.02371186820456206
85,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
86,B1,B1,LOCAL,DEPLOY,0.06867107235520653,0.06867107235520653,0.0,0.06867107235520653,0.06867107235520653
87,B1,B1,GLOBAL,DEPLOY,0.07601412080205572,0.07601412080205572,0.0,0.07601412080205572,0.07601412080205572
88,B1,HYBRID,HYBRID,DEPLOY,0.1404017957616699,0.0,0.0,0.1404017957616699,0.0
89,B1,LOCAL,HYBRID,DEPLOY,0.0991141448797852,0.04075983774178504,0.0,0.0991141448797852,0.04075983774178504
90,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
91,B1,B1,HYBRID,DEPLOY,0.09072058446293829,0.09072058446293829,0.0,0.09072058446293829,0.09072058446293829
92,B1,B1,HYBRID,DEPLOY,0.09743494949765197,0.09743494949765197,0.0,0.09743494949765197,0.09743494949765197
93,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
94,B1,B1,GLOBAL,DEPLOY,0.0,0.0,0.015582239127683972,-0.015582239127683972,-0.015582239127683972
95,B1,B1,B1,DEPLOY,0.0028020448761955086,0.0028020448761955086,0.0028020448761955086,0.0,0.0
96,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
97,B1,B1,GLOBAL,DEPLOY,0.01327794357440426,0.01327794357440426,0.0095484854936555,0.00372945808074876,0.00372945808074876
98,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
99,B1,B1,LOCAL,DEPLOY,0.02486332586279849,0.02486332586279849,0.05882605731162471,-0.03396273144882622,-0.03396273144882622
100,B1,B1,GLOBAL,DEPLOY,0.13065050845306136,0.13065050845306136,0.0,0.13065050845306136,0.13065050845306136
